External ID	Alma ID	Additional External ID	is_used	Name	Project	Has Additional ID
1108	2593	994	true	Ap. 368. MJL Asayel 2, apt. 305	Dubai	YES
1100	2589	986	true	Ap. 408. Zumurud, apt. 213	Dubai	YES
1086	1634	980	true	Ap. 421. Park Island Bonaire, apt. 604	Dubai	YES
1060	1635	976	true	Ap. 418. Azizi Riviera 42, apt. 203	Dubai	YES
1058	1631	974	true	Ap. 401. MeDoRe, apt. 1508	Dubai	YES
1050	1636	970	true	Ap. 318. Oakley Square Residences B, apt. 019	Dubai	YES
1046	1633	966	true	Ap. 409. Binghatti Corner, apt. 421	Dubai	YES
1036	1638	958	true	Ap. 429. Al Waleed Paradise, apt. 203	Dubai	YES
1024	1642	950	true	Ap. 248. Binghatti Corner, apt. 1806	Dubai	YES
988	1655	928	true	Ap. 391. Summer at Creek Beach Building 4, apt. 406	Dubai	YES
974	1647	914	true	Ap. 396. Al Wasl One Residence 2, apt. 2503	Dubai	YES
970	1661	910	true	Ap. 247. Binghatti Emerald, apt. 817	Dubai	YES
968	1660	908	true	Ap. 310. Azizi Riviera 26, apt. 335	Dubai	YES
966	1658	906	true	Ap. 312. La Vie, apt. 2204	Dubai	YES
962	1662	902	true	Ap. 367. Aycon City Tower C, apt. 3026	Dubai	YES
948	1669	890	true	Ap. 346. Binghatti Crest, apt. 1506	Dubai	YES
946	1666	888	true	Ap. 332. Reva Residence, apt. 2008	Dubai	YES
942	1670	886	true	Ap. 370. Azizi Berton, apt. 528	Dubai	YES
930	1668	880	true	Ap. 349. Roy Mediterranean, apt. 528	Dubai	YES
926	1674	876	true	Ap. 315. Me do re, apt. 1308	Dubai	YES
918	1686	868	true	Ap. 358. Socio Tower 2, apt. 303	Dubai	YES
916	1678	866	true	Ap. 369. The Residence at Marina Gate 2, apt. 3707	Dubai	YES
904	1680	860	true	Ap. 340. Al Waleed Paradise , apt. 614	Dubai	YES
900	1685	856	true	Ap. 350. Hamilton Residency, apt. 1106	Dubai	YES
892	1689	848	true	Ap. 354. Asayel 3, apt. 306	Dubai	YES
890	1694	846	true	Ap. 352. Liv Residence, apt. 1102	Dubai	YES
888	1693	844	true	Ap. 327. Me Do Re, apt. 1202	Dubai	YES
882	1696	840	true	Ap. 328. Palm View, apt. 2301	Dubai	YES
874	1695	836	true	Ap. 324. Azizi Mina, apt. 420	Dubai	YES
872	1692	834	true	Ap. 209. Azizi Riviera 45, apt. 209	Dubai	YES
870	1691	832	true	Ap. 330. Lake Terrace, apt. 2013	Dubai	YES
862	1706	824	true	Ap. 250. Goldcrest Views 2, apt. 411	Dubai	YES
860	1697	822	true	Ap. 309. G R Travo B, apt. 207	Dubai	YES
856	1701	818	true	Ap. 291. Elite Downtown residence, apt. 507	Dubai	YES
854	1703	816	true	Ap. 305. Starz Tower 1, apt. 203	Dubai	YES
852	1698	814	true	Ap. 316. Concorde Tower 1, apt. 3711	Dubai	YES
850	1700	812	true	Ap. 314. Silverene Towers A, apt. 1202	Dubai	YES
840	1711	808	true	Ap. 302. May Residence Tower 4, apt. 309	Dubai	YES
838	1716	806	true	Ap. 317. Meera Tower, apt. 1009	Dubai	YES
836	1707	804	true	Ap. 283. MeDoRe, apt. 408	Dubai	YES
834	1715	802	true	Ap. 288. Park Point Building B, apt. 313	Dubai	YES
832	1710	800	true	Ap. 289. Park Ridge Tower C, apt. 1601	Dubai	YES
830	1709	798	true	Ap. 290. Park Ridge Tower C, apt. 10	Dubai	YES
828	1712	796	true	Ap. 295. Park Ridge Tower C, apt. 403	Dubai	YES
822	1718	790	true	Ap. 308. Azizi Berton, apt. 116	Dubai	YES
820	1720	788	true	Ap. 294. Reva Residences, apt. 2618	Dubai	YES
818	1723	786	true	Ap. 115. MeDoRe, apt. 1010	Dubai	YES
814	1722	782	true	Ap. 293. The Sterling East House, apt. 217	Dubai	YES
812	1721	780	true	Ap. 262. Azizi Riviera 36, apt. 105	Dubai	YES
808	1724	776	true	Ap. 255. The V Tower, apt. 819	Dubai	YES
798	1732	764	true	Ap. 243. Azizi Riviera 44, apt. 602	Dubai	YES
796	1731	762	true	Ap. 297. Ahad Residences, apt. 1006	Dubai	YES
794	1727	760	true	Ap. 298. Ahad Residences, apt. 1306	Dubai	YES
778	1733	744	true	Ap. 292. Mayfair Residence, apt. 1005	Dubai	YES
764	1735	738	true	Ap. 234. Zada Tower, apt. 2603	Dubai	YES
762	1729	734	true	Ap. 285. Bayshore at Creek Beach Building 4, apt. 404	Dubai	YES
740	1744	718	true	Ap. 284. MeDoRe, apt. 510	Dubai	YES
732	1745	710	true	Ap. 281. Jumairah Bay Tower X1, apt. 209	Dubai	YES
730	1738	708	true	Ap. 278. Lakeshore tower 1, apt. 807	Dubai	YES
728	1739	706	true	Ap. 272. Sobha Hartland Waves, apt. 1706	Dubai	YES
726	1737	704	true	Ap. 277. Concorde tower, apt. 401	Dubai	YES
680	1753	692	true	Ap. 275. Azizi Riviera 42, apt. 501	Dubai	YES
644	1754	684	true	Ap. 266. No.9, apt. 205	Dubai	YES
642	1748	682	true	Ap. 252. Bay Central 2, apt. 701	Dubai	YES
640	1755	680	true	Ap. 254. Lake view, apt. 1510	Dubai	YES
628	1750	676	true	Ap. 267. Elite Residence, apt. 2010	Dubai	YES
626	1751	674	true	Ap. 259. Park Ridge Tower C, apt. 221	Dubai	YES
572	1758	658	true	Ap. 261. Azizi Riviera 42, apt. 308	Dubai	YES
562	1763	648	true	Ap. 245. Executive residences 2, apt. 129	Dubai	YES
558	1761	644	true	Ap. 242. saba3, apt. 1604	Dubai	YES
540	1770	626	true	Ap. 236. Binghatti Nova, apt. 613	Dubai	YES
538	1769	624	true	Ap. 233. Concorde Tower, apt. 1111	Dubai	YES
534	1773	620	true	Ap. 235. Prive Residence, apt. 105	Dubai	YES
532	1776	618	true	Ap. 231. Jumairah Bay tower X1-1, apt. 605	Dubai	YES
530	1772	616	true	Ap. 230. Yacht bay, apt. 504	Dubai	YES
494	1789	578	true	Ap. 226. Forte T1, apt. 211	Dubai	YES
478	1777	562	true	Ap. 219. Binghatti Nova, apt. 1010	Dubai	YES
468	1786	554	true	Ap. 217. Summer at Creek Beach Building 3, apt. 201	Dubai	YES
440	1794	534	true	Ap. 215. Binghatti Canal, apt. 1705	Dubai	YES
428	1787	520	true	Ap. 208. Park Ridge Tower C, apt. 306	Dubai	YES
424	1803	516	true	Ap. 206. Studio One Tower, apt. 2107	Dubai	YES
422	1804	514	true	Ap. 205. Sky Garden, apt. 409	Dubai	YES
418	1799	510	true	Ap. 203. MJL - Lamtara 2, apt. 707	Dubai	YES
414	1797	474	true	Ap. 201. Lake City Tower, apt. 1303	Dubai	YES
412	1806	476	true	Ap. 200. AG Tower, apt. 1109B	Dubai	YES
408	1802	650	true	Ap. 198. Azizi Berton, apt. 706	Dubai	YES
406	1798	482	true	Ap. 197. Prive Residence , apt. 1004	Dubai	YES
396	1808	492	true	Ap. 192. Marina Wharf 2, apt. 1103	Dubai	YES
394	1812	494	true	Ap. 191. Marina Quays West , apt. 701	Dubai	YES
384	1820	504	true	Ap. 186. Mag218, apt. 4104	Dubai	YES
380	1818	508	true	Ap. 184. Westwood, apt. 402	Dubai	YES
360	1830	452	true	Ap. 176. Dubai Gate 1, apt. 709	Dubai	YES
352	1828	442	true	Ap. 172. Bay Central 1, apt. 3102	Dubai	YES
346	5532	436	true	Ap. 169. Yacht Bay, apt. 202	Dubai	YES
344	1835	434	true	Ap. 168. Panoramic, apt. 6007	Dubai	YES
336	1838	426	true	Ap. 164. Azizi Samia , apt. 621	Dubai	YES
334	1837	424	true	Ap. 163. Ocean Heights, apt. 1202	Dubai	YES
332	1840	422	true	Ap. 162. Princess tower, apt. 1202	Dubai	YES
324	1841	414	true	Ap. 158. Royal Oceanic, apt. 705	Dubai	YES
312	1855	402	true	Ap. 152. Princess tower, apt. 3102	Dubai	YES
310	1849	400	true	Ap. 151. Discovery Gardens MED 64, apt. 405	Dubai	YES
300	1851	390	true	Ap. 146. Saba 2, apt. 2904	Dubai	YES
298	1864	386	true	Ap. 145. Elite Residence, apt. 1410	Dubai	YES
296	1856	384	true	Ap. 144. Zada Tower, apt. 2009	Dubai	YES
290	1865	378	true	Ap. 141. Lake view, apt. 703	Dubai	YES
286	1862	374	true	Ap. 139. Continental tower, apt. 2405	Dubai	YES
